True\Pred,正常,幅度失准,频率失准,参考电平失准,Total
正常,20,0,0,0,20
幅度失准,0,18,0,2,20
频率失准,0,0,20,0,20
参考电平失准,1,0,0,19,20
Pred Total,21,18,20,21,80
