method,sys_accuracy,sys_macro_f1,mod_top1_accuracy,fit_time_sec,infer_ms_per_sample,n_rules,n_params,n_features_used
ours,0.9625,0.9624518613607189,0.0,0.3207259178161621,0.1782536506652832,48,68,22
hcf,0.6125,0.5535125918757633,0.0,2.7124221324920654,0.012502074241638184,90,130,75
aifd,0.25,0.1,0.0,75.73429846763611,0.21915435791015625,72,110,6
brb_p,0.45,0.3325358851674641,0.0,65.5125138759613,0.22866129875183105,81,571,15
brb_mu,0.6375,0.6010350465137699,0.0,0.0044558048248291016,0.18814504146575928,72,110,75
dbrb,0.6875,0.6573809523809524,0.0,0.7409958839416504,0.13254284858703613,60,90,75
a_ibrb,0.275,0.18010752688172044,0.0,19.80474877357483,0.2126067876815796,20,65,5
fast_brb,0.2625,0.18727852586817859,0.0,0.0015039443969726562,0.03788769245147705,3,27,5
