class,precision,recall,f1,support
正常,0.9524,1.0000,0.9756,20
幅度失准,1.0000,0.9000,0.9474,20
频率失准,1.0000,1.0000,1.0000,20
参考电平失准,0.9048,0.9500,0.9268,20
