freq_Hz,amplitude_dB
10000000.0,-6.580650657462691
20000000.0,-6.580650657462691
30000000.0,-6.580650657462691
40000000.0,-6.569471204790362
50000000.0,-6.586194660371965
60000000.0,-6.583426469202903
70000000.0,-6.583426469202903
80000000.0,-6.586194660371965
90000000.0,-6.586194660371965
100000000.0,-6.586194660371965
110000000.0,-6.583426469202903
120000000.0,-6.586194660371965
130000000.0,-6.580650657462691
140000000.0,-6.583426469202903
150000000.0,-6.583426469202903
160000000.0,-6.575076172268824
170000000.0,-6.577867225151332
180000000.0,-6.586194660371965
190000000.0,-6.586194660371965
200000000.0,-6.583426469202903
210000000.0,-6.588955230969878
220000000.0,-6.586194660371965
230000000.0,-6.577867225151332
240000000.0,-6.575076172268824
250000000.0,-6.580650657462691
260000000.0,-6.583426469202903
270000000.0,-6.580650657462691
280000000.0,-6.580650657462691
290000000.0,-6.583426469202903
300000000.0,-6.580650657462691
310000000.0,-6.580650657462691
320000000.0,-6.583426469202903
330000000.0,-6.580650657462691
340000000.0,-6.577867225151332
350000000.0,-6.580650657462691
360000000.0,-6.580650657462691
370000000.0,-6.580650657462691
380000000.0,-6.583426469202903
390000000.0,-6.583426469202903
400000000.0,-6.580650657462691
410000000.0,-6.575076172268824
420000000.0,-6.577867225151332
430000000.0,-6.580650657462691
440000000.0,-6.577867225151332
450000000.0,-6.580650657462691
460000000.0,-6.580650657462691
470000000.0,-6.577867225151332
480000000.0,-6.577867225151332
490000000.0,-6.577867225151332
500000000.0,-6.577867225151332
510000000.0,-6.572277498815167
520000000.0,-6.575076172268824
530000000.0,-6.583426469202903
540000000.0,-6.583426469202903
550000000.0,-6.577867225151332
560000000.0,-6.577867225151332
570000000.0,-6.577867225151332
580000000.0,-6.575076172268824
590000000.0,-6.572277498815167
600000000.0,-6.575076172268824
610000000.0,-6.575076172268824
620000000.0,-6.575076172268824
630000000.0,-6.575076172268824
640000000.0,-6.577867225151332
650000000.0,-6.575076172268824
660000000.0,-6.575076172268824
670000000.0,-6.577867225151332
680000000.0,-6.575076172268824
690000000.0,-6.572277498815167
700000000.0,-6.572277498815167
710000000.0,-6.575076172268824
720000000.0,-6.572277498815167
730000000.0,-6.572277498815167
740000000.0,-6.575076172268824
750000000.0,-6.569471204790362
760000000.0,-6.566657290194408
770000000.0,-6.572277498815167
780000000.0,-6.575076172268824
790000000.0,-6.575076172268824
800000000.0,-6.569471204790362
810000000.0,-6.575076172268824
820000000.0,-6.572277498815167
830000000.0,-6.566657290194408
840000000.0,-6.566657290194408
850000000.0,-6.566657290194408
860000000.0,-6.569471204790362
870000000.0,-6.566657290194408
880000000.0,-6.566657290194408
890000000.0,-6.566657290194408
900000000.0,-6.563835755027306
910000000.0,-6.555325426099106
920000000.0,-6.569471204790362
930000000.0,-6.572277498815167
940000000.0,-6.566657290194408
950000000.0,-6.566657290194408
960000000.0,-6.577867225151332
970000000.0,-6.575076172268824
980000000.0,-6.561006599289055
990000000.0,-6.558169822979655
1000000000.0,-6.566657290194408
1010000000.0,-6.563835755027306
1020000000.0,-6.566657290194408
1030000000.0,-6.563835755027306
1040000000.0,-6.563835755027306
1050000000.0,-6.563835755027306
1060000000.0,-6.575076172268824
1070000000.0,-6.572277498815167
1080000000.0,-6.558169822979655
1090000000.0,-6.549613770624563
1100000000.0,-6.566657290194408
1110000000.0,-6.577867225151332
1120000000.0,-6.575076172268824
1130000000.0,-6.563835755027306
1140000000.0,-6.563835755027306
1150000000.0,-6.563835755027306
1160000000.0,-6.566657290194408
1170000000.0,-6.563835755027306
1180000000.0,-6.566657290194408
1190000000.0,-6.572277498815167
1200000000.0,-6.566657290194408
1210000000.0,-6.566657290194408
1220000000.0,-6.563835755027306
1230000000.0,-6.566657290194408
1240000000.0,-6.569471204790362
1250000000.0,-6.563835755027306
1260000000.0,-6.555325426099106
1270000000.0,-6.561006599289055
1280000000.0,-6.569471204790362
1290000000.0,-6.572277498815167
1300000000.0,-6.563835755027306
1310000000.0,-6.558169822979655
1320000000.0,-6.561006599289055
1330000000.0,-6.563835755027306
1340000000.0,-6.561006599289055
1350000000.0,-6.563835755027306
1360000000.0,-6.569471204790362
1370000000.0,-6.572277498815167
1380000000.0,-6.572277498815167
1390000000.0,-6.566657290194408
1400000000.0,-6.563835755027306
1410000000.0,-6.569471204790362
1420000000.0,-6.569471204790362
1430000000.0,-6.561006599289055
1440000000.0,-6.558169822979655
1450000000.0,-6.563835755027306
1460000000.0,-6.563835755027306
1470000000.0,-6.563835755027306
1480000000.0,-6.563835755027306
1490000000.0,-6.563835755027306
1500000000.0,-6.563835755027306
1510000000.0,-6.569471204790362
1520000000.0,-6.566657290194408
1530000000.0,-6.563835755027306
1540000000.0,-6.563835755027306
1550000000.0,-6.563835755027306
1560000000.0,-6.566657290194408
1570000000.0,-6.566657290194408
1580000000.0,-6.569471204790362
1590000000.0,-6.572277498815167
1600000000.0,-6.563835755027306
1610000000.0,-6.561006599289055
1620000000.0,-6.561006599289055
1630000000.0,-6.563835755027306
1640000000.0,-6.566657290194408
1650000000.0,-6.563835755027306
1660000000.0,-6.566657290194408
1670000000.0,-6.566657290194408
1680000000.0,-6.569471204790362
1690000000.0,-6.569471204790362
1700000000.0,-6.566657290194408
1710000000.0,-6.563835755027306
1720000000.0,-6.569471204790362
1730000000.0,-6.577867225151332
1740000000.0,-6.583426469202903
1750000000.0,-6.569471204790362
1760000000.0,-6.563835755027306
1770000000.0,-6.563835755027306
1780000000.0,-6.569471204790362
1790000000.0,-6.569471204790362
1800000000.0,-6.566657290194408
1810000000.0,-6.572277498815167
1820000000.0,-6.575076172268824
1830000000.0,-6.572277498815167
1840000000.0,-6.566657290194408
1850000000.0,-6.566657290194408
1860000000.0,-6.569471204790362
1870000000.0,-6.569471204790362
1880000000.0,-6.561006599289055
1890000000.0,-6.558169822979655
1900000000.0,-6.563835755027306
1910000000.0,-6.569471204790362
1920000000.0,-6.572277498815167
1930000000.0,-6.569471204790362
1940000000.0,-6.566657290194408
1950000000.0,-6.566657290194408
1960000000.0,-6.569471204790362
1970000000.0,-6.563835755027306
1980000000.0,-6.555325426099106
1990000000.0,-6.555325426099106
2000000000.0,-6.561006599289055
2010000000.0,-6.572277498815167
2020000000.0,-6.569471204790362
2030000000.0,-6.569471204790362
2040000000.0,-6.572277498815167
2050000000.0,-6.561006599289055
2060000000.0,-6.555325426099106
2070000000.0,-6.558169822979655
2080000000.0,-6.563835755027306
2090000000.0,-6.566657290194408
2100000000.0,-6.561006599289055
2110000000.0,-6.558169822979655
2120000000.0,-6.558169822979655
2130000000.0,-6.563835755027306
2140000000.0,-6.566657290194408
2150000000.0,-6.563835755027306
2160000000.0,-6.566657290194408
2170000000.0,-6.563835755027306
2180000000.0,-6.566657290194408
