freq_Hz,amplitude_dB
10000000.0,-9.89
20000000.0,-9.89
30000000.0,-9.89
40000000.0,-9.89
50000000.0,-9.95
60000000.0,-9.94
70000000.0,-9.94
80000000.0,-9.95
90000000.0,-9.95
100000000.0,-9.95
110000000.0,-9.95
120000000.0,-9.95
130000000.0,-9.94
140000000.0,-9.94
150000000.0,-9.95
160000000.0,-9.92
170000000.0,-9.93
180000000.0,-9.95
190000000.0,-9.96
200000000.0,-9.95
210000000.0,-9.98
220000000.0,-9.97
230000000.0,-9.94
240000000.0,-9.93
250000000.0,-9.96
260000000.0,-9.96
270000000.0,-9.95
280000000.0,-9.95
290000000.0,-9.96
300000000.0,-9.96
310000000.0,-9.95
320000000.0,-9.96
330000000.0,-9.95
340000000.0,-9.94
350000000.0,-9.96
360000000.0,-9.95
370000000.0,-9.95
380000000.0,-9.96
390000000.0,-9.97
400000000.0,-9.95
410000000.0,-9.93
420000000.0,-9.94
430000000.0,-9.95
440000000.0,-9.95
450000000.0,-9.96
460000000.0,-9.96
470000000.0,-9.95
480000000.0,-9.94
490000000.0,-9.94
500000000.0,-9.95
510000000.0,-9.93
520000000.0,-9.94
530000000.0,-9.96
540000000.0,-9.97
550000000.0,-9.95
560000000.0,-9.95
570000000.0,-9.95
580000000.0,-9.94
590000000.0,-9.93
600000000.0,-9.94
610000000.0,-9.95
620000000.0,-9.94
630000000.0,-9.95
640000000.0,-9.96
650000000.0,-9.94
660000000.0,-9.95
670000000.0,-9.95
680000000.0,-9.94
690000000.0,-9.94
700000000.0,-9.94
710000000.0,-9.94
720000000.0,-9.94
730000000.0,-9.94
740000000.0,-9.95
750000000.0,-9.93
760000000.0,-9.92
770000000.0,-9.94
780000000.0,-9.96
790000000.0,-9.96
800000000.0,-9.93
810000000.0,-9.96
820000000.0,-9.94
830000000.0,-9.93
840000000.0,-9.93
850000000.0,-9.93
860000000.0,-9.94
870000000.0,-9.93
880000000.0,-9.93
890000000.0,-9.93
900000000.0,-9.93
910000000.0,-9.89
920000000.0,-9.94
930000000.0,-9.95
940000000.0,-9.92
950000000.0,-9.92
960000000.0,-9.97
970000000.0,-9.95
980000000.0,-9.91
990000000.0,-9.9
1000000000.0,-9.93
1010000000.0,-9.92
1020000000.0,-9.93
1030000000.0,-9.93
1040000000.0,-9.93
1050000000.0,-9.93
1060000000.0,-9.96
1070000000.0,-9.96
1080000000.0,-9.9
1090000000.0,-9.88
1100000000.0,-9.94
1110000000.0,-9.98
1120000000.0,-9.97
1130000000.0,-9.93
1140000000.0,-9.93
1150000000.0,-9.94
1160000000.0,-9.95
1170000000.0,-9.94
1180000000.0,-9.95
1190000000.0,-9.97
1200000000.0,-9.94
1210000000.0,-9.95
1220000000.0,-9.94
1230000000.0,-9.95
1240000000.0,-9.95
1250000000.0,-9.94
1260000000.0,-9.91
1270000000.0,-9.93
1280000000.0,-9.97
1290000000.0,-9.97
1300000000.0,-9.95
1310000000.0,-9.93
1320000000.0,-9.93
1330000000.0,-9.95
1340000000.0,-9.94
1350000000.0,-9.94
1360000000.0,-9.96
1370000000.0,-9.97
1380000000.0,-9.97
1390000000.0,-9.96
1400000000.0,-9.95
1410000000.0,-9.97
1420000000.0,-9.96
1430000000.0,-9.94
1440000000.0,-9.93
1450000000.0,-9.95
1460000000.0,-9.95
1470000000.0,-9.96
1480000000.0,-9.96
1490000000.0,-9.97
1500000000.0,-9.97
1510000000.0,-9.98
1520000000.0,-9.98
1530000000.0,-9.97
1540000000.0,-9.96
1550000000.0,-9.97
1560000000.0,-9.98
1570000000.0,-9.97
1580000000.0,-9.99
1590000000.0,-10.0
1600000000.0,-9.96
1610000000.0,-9.95
1620000000.0,-9.96
1630000000.0,-9.97
1640000000.0,-9.98
1650000000.0,-9.97
1660000000.0,-9.97
1670000000.0,-9.97
1680000000.0,-9.99
1690000000.0,-9.99
1700000000.0,-9.97
1710000000.0,-9.97
1720000000.0,-9.98
1730000000.0,-10.01
1740000000.0,-10.03
1750000000.0,-9.98
1760000000.0,-9.96
1770000000.0,-9.96
1780000000.0,-9.99
1790000000.0,-9.99
1800000000.0,-9.97
1810000000.0,-9.99
1820000000.0,-10.0
1830000000.0,-9.99
1840000000.0,-9.98
1850000000.0,-9.97
1860000000.0,-9.99
1870000000.0,-9.99
1880000000.0,-9.96
1890000000.0,-9.94
1900000000.0,-9.97
1910000000.0,-9.98
1920000000.0,-9.99
1930000000.0,-9.98
1940000000.0,-9.97
1950000000.0,-9.97
1960000000.0,-9.99
1970000000.0,-9.96
1980000000.0,-9.94
1990000000.0,-9.94
2000000000.0,-9.96
2010000000.0,-10.0
2020000000.0,-9.99
2030000000.0,-9.98
2040000000.0,-9.99
2050000000.0,-9.96
2060000000.0,-9.94
2070000000.0,-9.95
2080000000.0,-9.97
2090000000.0,-9.98
2100000000.0,-9.96
2110000000.0,-9.95
2120000000.0,-9.95
2130000000.0,-9.97
2140000000.0,-9.97
2150000000.0,-9.97
2160000000.0,-9.98
2170000000.0,-9.97
2180000000.0,-9.98
2190000000.0,-9.98
2200000000.0,-9.96
2210000000.0,-9.95
2220000000.0,-9.97
2230000000.0,-9.98
2240000000.0,-9.98
2250000000.0,-9.96
2260000000.0,-9.94
2270000000.0,-9.96
2280000000.0,-9.96
2290000000.0,-9.96
2300000000.0,-9.96
2310000000.0,-9.96
2320000000.0,-9.96
2330000000.0,-9.96
2340000000.0,-9.95
2350000000.0,-9.96
2360000000.0,-9.98
2370000000.0,-9.96
2380000000.0,-9.94
2390000000.0,-9.94
2400000000.0,-9.95
2410000000.0,-9.96
2420000000.0,-9.96
2430000000.0,-9.95
2440000000.0,-9.94
2450000000.0,-9.95
2460000000.0,-9.96
2470000000.0,-9.95
2480000000.0,-9.93
2490000000.0,-9.93
2500000000.0,-9.94
2510000000.0,-9.92
2520000000.0,-9.93
2530000000.0,-9.96
2540000000.0,-9.98
2550000000.0,-9.94
2560000000.0,-9.94
2570000000.0,-9.93
2580000000.0,-9.94
2590000000.0,-9.94
2600000000.0,-9.94
2610000000.0,-9.96
2620000000.0,-9.96
2630000000.0,-9.94
2640000000.0,-9.94
2650000000.0,-9.94
2660000000.0,-9.91
2670000000.0,-9.93
2680000000.0,-9.98
2690000000.0,-9.98
2700000000.0,-9.94
2710000000.0,-9.95
2720000000.0,-9.95
2730000000.0,-9.93
2740000000.0,-9.93
2750000000.0,-9.94
2760000000.0,-9.95
2770000000.0,-9.95
2780000000.0,-9.96
2790000000.0,-9.96
2800000000.0,-9.94
2810000000.0,-9.94
2820000000.0,-9.94
2830000000.0,-9.93
2840000000.0,-9.93
2850000000.0,-9.95
2860000000.0,-9.95
2870000000.0,-9.95
2880000000.0,-9.95
2890000000.0,-9.95
2900000000.0,-9.96
2910000000.0,-9.94
2920000000.0,-9.95
2930000000.0,-9.98
2940000000.0,-10.0
2950000000.0,-9.96
2960000000.0,-9.96
2970000000.0,-9.96
2980000000.0,-9.95
2990000000.0,-9.96
3000000000.0,-9.97
3010000000.0,-9.96
3020000000.0,-9.97
3030000000.0,-9.97
3040000000.0,-9.96
3050000000.0,-9.97
3060000000.0,-9.95
3070000000.0,-9.97
