curve_id,offset_db,median_residual_before,median_residual_after
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-23 12-14-13-35P5-0-56P5625-0-43P2243-58P125.csv,-0.0600000000000005,-0.0600000000000005,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-23 12-51-09-35P375-0-56P4375-0-43P3419-58P125.csv,-0.049999999999998934,-0.049999999999998934,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-23 13-28-06-35P75-0-56P625-0-43P2562-58P125.csv,-0.06999999999999851,-0.06999999999999851,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 17-32-27-34-0-55P6875-0-45P1567-60P5625.csv,-0.010000000000001563,-0.010000000000001563,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 18-09-23-33P75-0-55P625-0-44P5909-59P875.csv,-0.009999999999999787,-0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 18-46-20-33P625-0-55P4375-0-44P4429-59P625.csv,-0.009999999999999787,-0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 19-23-16-33P5-0-55P1875-0-44P2668-59P4375.csv,0.0,0.0,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 20-00-13-33P25-0-54P9375-0-43P9025-59P0625.csv,0.00500000000000167,0.00500000000000167,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 20-37-09-33-0-54P8125-0-43P9686-59P0625.csv,0.009999999999999787,0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 21-14-05-33-0-54P8125-0-43P9004-59.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 21-51-02-32P875-0-54P5625-0-43P7069-58P875.csv,0.010000000000001563,0.010000000000001563,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 22-27-58-32P875-0-54P4375-0-43P558-58P5625.csv,0.02499999999999858,0.02499999999999858,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 23-04-54-32P75-0-54P375-0-43P3966-58P375.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 23-41-51-32P625-0-54P25-0-43P1935-58P25.csv,0.014999999999998792,0.014999999999998792,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 23-48-47-32P5-0-56P5625-0-43P1674-58P25.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-24 23-55-44-32P5-0-57-0-43P2332-58P25.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 00-32-39-32P625-0-54P1875-0-43P0047-58P125.csv,0.010000000000001563,0.010000000000001563,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 01-09-35-32P375-0-54P125-0-42P9387-58.csv,0.010000000000001563,0.010000000000001563,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 01-46-32-32P5-0-54-0-42P8635-57P9375.csv,0.009999999999999787,0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 02-23-28-32P375-0-53P9375-0-42P7156-57P8125.csv,0.009999999999999787,0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 03-00-25-32P375-0-53P875-0-42P6315-57P75.csv,0.009999999999999787,0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 03-37-21-32P125-0-53P8125-0-42P5304-57P625.csv,0.009999999999999787,0.009999999999999787,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 04-14-18-32-0-53P75-0-42P4993-57P625.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 04-51-14-31P875-0-53P6875-0-42P461-57P5625.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 05-28-10-32-0-53P625-0-42P3091-57P4375.csv,0.019999999999997797,0.019999999999997797,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 06-05-06-31P75-0-53P5625-0-42P2997-57P4375.csv,0.019999999999999574,0.019999999999999574,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 06-42-02-31P75-0-53P5625-0-42P333-57P4375.csv,0.02999999999999936,0.02999999999999936,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 07-18-58-31P875-0-53P5-0-42P2904-57P375.csv,0.02999999999999936,0.02999999999999936,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 07-55-54-31P75-0-53P375-0-42P0421-57P1875.csv,0.02999999999999936,0.02999999999999936,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 08-32-51-31P875-0-53P5625-0-42P6633-57P625.csv,0.05000000000000071,0.05000000000000071,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 09-09-47-32P25-0-53P9375-0-43P0525-58P0625.csv,0.049999999999998934,0.049999999999998934,0.0
10MHz~8200MHz-前放OFF-AC-扫频-2025-12-25 09-46-43-32P25-0-54P1875-0-43P4385-58P4375.csv,0.028750000000000497,0.028750000000000497,0.0
